propertyId,name,sequence,qrPayload,frontAsset,qrAsset,colorGroup,colorGroupLabel,purchasePrice,initialRentLevel,maximumRentLevel,rentLevels
PRP_01,Old Kent Road,1,MUB:P:01,Resources/Cards/PropertyCards/01_Property_Front.png,Resources/Cards/PropertyCards/01_Property_Back_QR.png,BROWN,Brown,60,1,5,"[{""level"": 1, ""amount"": 70}, {""level"": 2, ""amount"": 130}, {""level"": 3, ""amount"": 220}, {""level"": 4, ""amount"": 370}, {""level"": 5, ""amount"": 750}]"
PRP_02,Whitechapel Road,2,MUB:P:02,Resources/Cards/PropertyCards/02_Property_Front.png,Resources/Cards/PropertyCards/02_Property_Back_QR.png,BROWN,Brown,60,1,5,"[{""level"": 1, ""amount"": 70}, {""level"": 2, ""amount"": 130}, {""level"": 3, ""amount"": 220}, {""level"": 4, ""amount"": 370}, {""level"": 5, ""amount"": 750}]"
PRP_03,"The Angel, Islington",3,MUB:P:03,Resources/Cards/PropertyCards/03_Property_Front.png,Resources/Cards/PropertyCards/03_Property_Back_QR.png,LIGHT_BLUE,Light Blue,100,1,5,"[{""level"": 1, ""amount"": 80}, {""level"": 2, ""amount"": 140}, {""level"": 3, ""amount"": 240}, {""level"": 4, ""amount"": 410}, {""level"": 5, ""amount"": 800}]"
PRP_04,Euston Road,4,MUB:P:04,Resources/Cards/PropertyCards/04_Property_Front.png,Resources/Cards/PropertyCards/04_Property_Back_QR.png,LIGHT_BLUE,Light Blue,100,1,5,"[{""level"": 1, ""amount"": 80}, {""level"": 2, ""amount"": 140}, {""level"": 3, ""amount"": 240}, {""level"": 4, ""amount"": 410}, {""level"": 5, ""amount"": 800}]"
PRP_05,Pentonville Road,5,MUB:P:05,Resources/Cards/PropertyCards/05_Property_Front.png,Resources/Cards/PropertyCards/05_Property_Back_QR.png,LIGHT_BLUE,Light Blue,120,1,5,"[{""level"": 1, ""amount"": 100}, {""level"": 2, ""amount"": 160}, {""level"": 3, ""amount"": 260}, {""level"": 4, ""amount"": 440}, {""level"": 5, ""amount"": 860}]"
PRP_06,Pall Mall,6,MUB:P:06,Resources/Cards/PropertyCards/06_Property_Front.png,Resources/Cards/PropertyCards/06_Property_Back_QR.png,PINK,Pink,140,1,5,"[{""level"": 1, ""amount"": 110}, {""level"": 2, ""amount"": 180}, {""level"": 3, ""amount"": 290}, {""level"": 4, ""amount"": 460}, {""level"": 5, ""amount"": 900}]"
PRP_07,Whitehall,7,MUB:P:07,Resources/Cards/PropertyCards/07_Property_Front.png,Resources/Cards/PropertyCards/07_Property_Back_QR.png,PINK,Pink,140,1,5,"[{""level"": 1, ""amount"": 110}, {""level"": 2, ""amount"": 180}, {""level"": 3, ""amount"": 290}, {""level"": 4, ""amount"": 460}, {""level"": 5, ""amount"": 900}]"
PRP_08,Northumberland Avenue,8,MUB:P:08,Resources/Cards/PropertyCards/08_Property_Front.png,Resources/Cards/PropertyCards/08_Property_Back_QR.png,PINK,Pink,160,1,5,"[{""level"": 1, ""amount"": 130}, {""level"": 2, ""amount"": 200}, {""level"": 3, ""amount"": 310}, {""level"": 4, ""amount"": 490}, {""level"": 5, ""amount"": 980}]"
PRP_09,Bow Street,9,MUB:P:09,Resources/Cards/PropertyCards/09_Property_Front.png,Resources/Cards/PropertyCards/09_Property_Back_QR.png,ORANGE,Orange,180,1,5,"[{""level"": 1, ""amount"": 140}, {""level"": 2, ""amount"": 210}, {""level"": 3, ""amount"": 330}, {""level"": 4, ""amount"": 520}, {""level"": 5, ""amount"": 1000}]"
PRP_10,Marlborough Street,10,MUB:P:10,Resources/Cards/PropertyCards/10_Property_Front.png,Resources/Cards/PropertyCards/10_Property_Back_QR.png,ORANGE,Orange,180,1,5,"[{""level"": 1, ""amount"": 140}, {""level"": 2, ""amount"": 210}, {""level"": 3, ""amount"": 330}, {""level"": 4, ""amount"": 520}, {""level"": 5, ""amount"": 1000}]"
PRP_11,Vine Street,11,MUB:P:11,Resources/Cards/PropertyCards/11_Property_Front.png,Resources/Cards/PropertyCards/11_Property_Back_QR.png,ORANGE,Orange,200,1,5,"[{""level"": 1, ""amount"": 160}, {""level"": 2, ""amount"": 230}, {""level"": 3, ""amount"": 350}, {""level"": 4, ""amount"": 550}, {""level"": 5, ""amount"": 1100}]"
PRP_12,Strand,12,MUB:P:12,Resources/Cards/PropertyCards/12_Property_Front.png,Resources/Cards/PropertyCards/12_Property_Back_QR.png,RED,Red,220,1,5,"[{""level"": 1, ""amount"": 170}, {""level"": 2, ""amount"": 250}, {""level"": 3, ""amount"": 380}, {""level"": 4, ""amount"": 580}, {""level"": 5, ""amount"": 1160}]"
PRP_13,Fleet Street,13,MUB:P:13,Resources/Cards/PropertyCards/13_Property_Front.png,Resources/Cards/PropertyCards/13_Property_Back_QR.png,RED,Red,220,1,5,"[{""level"": 1, ""amount"": 170}, {""level"": 2, ""amount"": 250}, {""level"": 3, ""amount"": 380}, {""level"": 4, ""amount"": 580}, {""level"": 5, ""amount"": 1160}]"
PRP_14,Trafalgar Square,14,MUB:P:14,Resources/Cards/PropertyCards/14_Property_Front.png,Resources/Cards/PropertyCards/14_Property_Back_QR.png,RED,Red,240,1,5,"[{""level"": 1, ""amount"": 190}, {""level"": 2, ""amount"": 270}, {""level"": 3, ""amount"": 400}, {""level"": 4, ""amount"": 610}, {""level"": 5, ""amount"": 1200}]"
