edition_id,category,card_id,canonical_name,qr_file,qr_payload,decode_status,error
,USER,USR_01,Car,Resources/Common/UserCards/01_Car_Back_QR.png,MUB:PL:CAR,SUCCESS,
,USER,USR_02,Helicopter,Resources/Common/UserCards/02_Helicopter_Back_QR.png,MUB:PL:HELICOPTER,SUCCESS,
,USER,USR_03,Ship,Resources/Common/UserCards/03_Ship_Back_QR.png,MUB:PL:SHIP,SUCCESS,
,USER,USR_04,Aeroplane,Resources/Common/UserCards/04_Aeroplane_Back_QR.png,MUB:PL:AEROPLANE,SUCCESS,
india,EVENT,EVT_01,Advance to GO,Resources/Editions/india/EventCards/E01_Advance_to_GO_Back_QR.png,MUB:E:E01,SUCCESS,
india,EVENT,EVT_02,Wrong Turn!,Resources/Editions/india/EventCards/E02_Wrong_Turn_Back_QR.png,MUB:E:E02,SUCCESS,
india,EVENT,EVT_03,UPI Cashback,Resources/Editions/india/EventCards/E03_UPI_Cashback_Back_QR.png,MUB:E:E03,SUCCESS,
india,EVENT,EVT_04,Income Tax Refund,Resources/Editions/india/EventCards/E04_Income_Tax_Refund_Back_QR.png,MUB:E:E04,SUCCESS,
india,EVENT,EVT_05,Hospital Expense,Resources/Editions/india/EventCards/E05_Hospital_Expense_Back_QR.png,MUB:E:E05,SUCCESS,
india,EVENT,EVT_06,Festival Contribution,Resources/Editions/india/EventCards/E06_Festival_Contribution_Back_QR.png,MUB:E:E06,SUCCESS,
india,EVENT,EVT_07,Birthday Celebration,Resources/Editions/india/EventCards/E07_Birthday_Celebration_Back_QR.png,MUB:E:E07,SUCCESS,
india,EVENT,EVT_08,Municipal Maintenance,Resources/Editions/india/EventCards/E08_Municipal_Maintenance_Back_QR.png,MUB:E:E08,SUCCESS,
india,EVENT,EVT_09,Green Building Grant,Resources/Editions/india/EventCards/E09_Green_Building_Grant_Back_QR.png,MUB:E:E09,SUCCESS,
india,EVENT,EVT_10,Rent Relief,Resources/Editions/india/EventCards/E10_Rent_Relief_Back_QR.png,MUB:E:E10,SUCCESS,
india,EVENT,EVT_11,Get Out of Jail Pass,Resources/Editions/india/EventCards/E11_Get_Out_of_Jail_Pass_Back_QR.png,MUB:E:E11,SUCCESS,
india,EVENT,EVT_12,Traffic Court,Resources/Editions/india/EventCards/E12_Traffic_Court_Back_QR.png,MUB:E:E12,SUCCESS,
india,EVENT,EVT_13,Local Market Boom,Resources/Editions/india/EventCards/E13_Local_Market_Boom_Back_QR.png,MUB:E:E13,SUCCESS,
india,EVENT,EVT_14,Market Correction,Resources/Editions/india/EventCards/E14_Market_Correction_Back_QR.png,MUB:E:E14,SUCCESS,
india,EVENT,EVT_15,Lucky Draw,Resources/Editions/india/EventCards/E15_Lucky_Draw_Back_QR.png,MUB:E:E15,SUCCESS,
india,EVENT,EVT_16,Community Development,Resources/Editions/india/EventCards/E16_Community_Development_Back_QR.png,MUB:E:E16,SUCCESS,
india,EVENT,EVT_17,Lucky Break,Resources/Editions/india/EventCards/E17_Lucky_Break_Back_QR.png,MUB:E:E17,SUCCESS,
